==========> Fault Simulation Begins at                    0 
Undetected fault:   SerialFS_TB.FUT._1100_/Y to 1 at               319800
Undetected fault:   SerialFS_TB.FUT._1101_/Y to 0 at               320010
Undetected fault:   SerialFS_TB.FUT._1104_/Y to 0 at               320220
Undetected fault:   SerialFS_TB.FUT._1104_/A to 1 at               320430
Undetected fault:   SerialFS_TB.FUT._1104_/Y to 1 at               320640
Undetected fault:   SerialFS_TB.FUT._1104_/A to 0 at               320850
Undetected fault:   SerialFS_TB.FUT._1107_/Y to 1 at               321060
Undetected fault:   SerialFS_TB.FUT._1107_/A to 0 at               321270
Undetected fault:   SerialFS_TB.FUT._1107_/B to 0 at               321480
Undetected fault:   SerialFS_TB.FUT._1106_/Y to 0 at               321690
Undetected fault:   SerialFS_TB.FUT._1105_/Y to 0 at               321900
Undetected fault:   SerialFS_TB.FUT._1107_/Y to 0 at               322110
Undetected fault:   SerialFS_TB.FUT._1106_/A to 1 at               322530
Undetected fault:   SerialFS_TB.FUT._1106_/Y to 1 at               322740
Undetected fault:   SerialFS_TB.FUT._1106_/A to 0 at               322950
Undetected fault:   SerialFS_TB.FUT._1106_/B to 0 at               323160
Undetected fault:   SerialFS_TB.FUT._1107_/A to 1 at               323370
Undetected fault:   SerialFS_TB.FUT._1105_/B to 1 at               323580
Undetected fault:   SerialFS_TB.FUT._1105_/A to 1 at               323790
Undetected fault:   SerialFS_TB.FUT._1105_/Y to 1 at               324000
Undetected fault:   SerialFS_TB.FUT._1105_/A to 0 at               324210
Undetected fault:   SerialFS_TB.FUT._1105_/B to 0 at               324420
Undetected fault:   SerialFS_TB.FUT._1107_/B to 1 at               324630
Undetected fault:   SerialFS_TB.FUT._1108_/Y to 0 at               324840
Undetected fault:   SerialFS_TB.FUT._1108_/A to 1 at               325050
Undetected fault:   SerialFS_TB.FUT._1108_/B to 1 at               325260
Undetected fault:   SerialFS_TB.FUT._1110_/B to 0 at               325470
Undetected fault:   SerialFS_TB.FUT._1109_/B to 0 at               325890
Undetected fault:   SerialFS_TB.FUT._1109_/A to 0 at               326100
Undetected fault:   SerialFS_TB.FUT._1108_/A to 0 at               327360
Undetected fault:   SerialFS_TB.FUT._1110_/Y to 0 at               327570
Undetected fault:   SerialFS_TB.FUT._1110_/A to 1 at               327780
Undetected fault:   SerialFS_TB.FUT._1110_/B to 1 at               327990
Undetected fault:   SerialFS_TB.FUT._1109_/Y to 1 at               328200
Undetected fault:   SerialFS_TB.FUT._1108_/Y to 1 at               328410
Undetected fault:   SerialFS_TB.FUT._1114_/Y to 1 at               328620
Undetected fault:   SerialFS_TB.FUT._1114_/B to 0 at               328830
Undetected fault:   SerialFS_TB.FUT._1114_/A to 0 at               329040
Undetected fault:   SerialFS_TB.FUT._1111_/Y to 0 at               329250
Undetected fault:   SerialFS_TB.FUT._1113_/Y to 0 at               329460
Undetected fault:   SerialFS_TB.FUT._1113_/B to 1 at               329880
Undetected fault:   SerialFS_TB.FUT._1113_/A to 1 at               330090
Undetected fault:   SerialFS_TB.FUT._1111_/B to 1 at               331140
Undetected fault:   SerialFS_TB.FUT._1111_/Y to 1 at               331560
Undetected fault:   SerialFS_TB.FUT._1111_/A to 0 at               331770
Undetected fault:   SerialFS_TB.FUT._1111_/B to 0 at               331980
Undetected fault:   SerialFS_TB.FUT._1114_/B to 1 at               332190
Undetected fault:   SerialFS_TB.FUT._1112_/Y to 1 at               332820
Undetected fault:   SerialFS_TB.FUT._1112_/A to 0 at               333030
Undetected fault:   SerialFS_TB.FUT._1115_/Y to 0 at               333240
Undetected fault:   SerialFS_TB.FUT._1115_/B to 1 at               333450
Undetected fault:   SerialFS_TB.FUT._1115_/A to 1 at               333660
Undetected fault:   SerialFS_TB.FUT._1120_/B to 0 at               333870
Undetected fault:   SerialFS_TB.FUT._1120_/Y to 1 at               334080
Undetected fault:   SerialFS_TB.FUT._1119_/A to 0 at               334500
Undetected fault:   SerialFS_TB.FUT._1119_/Y to 0 at               334710
Undetected fault:   SerialFS_TB.FUT._1119_/B to 1 at               334920
Undetected fault:   SerialFS_TB.FUT._1119_/A to 1 at               335130
Undetected fault:   SerialFS_TB.FUT._1120_/A to 0 at               335340
Undetected fault:   SerialFS_TB.FUT._1115_/B to 0 at               335550
Undetected fault:   SerialFS_TB.FUT._1116_/Y to 0 at               337020
Undetected fault:   SerialFS_TB.FUT._1116_/A to 1 at               337230
Undetected fault:   SerialFS_TB.FUT._1116_/B to 1 at               337440
Undetected fault:   SerialFS_TB.FUT._1118_/B to 0 at               337650
Undetected fault:   SerialFS_TB.FUT._1118_/Y to 1 at               337860
Undetected fault:   SerialFS_TB.FUT._1117_/B to 0 at               338070
Undetected fault:   SerialFS_TB.FUT._1117_/A to 0 at               338280
Undetected fault:   SerialFS_TB.FUT._1117_/Y to 0 at               338490
Undetected fault:   SerialFS_TB.FUT._1117_/B to 1 at               338910
Undetected fault:   SerialFS_TB.FUT._1118_/A to 0 at               339120
Undetected fault:   SerialFS_TB.FUT._1118_/Y to 0 at               339750
Undetected fault:   SerialFS_TB.FUT._1118_/B to 1 at               339960
Undetected fault:   SerialFS_TB.FUT._1118_/A to 1 at               340170
Undetected fault:   SerialFS_TB.FUT._1116_/Y to 1 at               340380
Undetected fault:   SerialFS_TB.FUT._1117_/Y to 1 at               340590
Undetected fault:   SerialFS_TB.FUT._1129_/Y to 1 at               340800
Undetected fault:   SerialFS_TB.FUT._1129_/B to 0 at               341010
Undetected fault:   SerialFS_TB.FUT._1129_/A to 0 at               341220
Undetected fault:   SerialFS_TB.FUT._1121_/Y to 0 at               341430
Undetected fault:   SerialFS_TB.FUT._1128_/Y to 0 at               341640
Undetected fault:   SerialFS_TB.FUT._1130_/A to 1 at               341850
Undetected fault:   SerialFS_TB.FUT._1130_/B to 1 at               342060
Undetected fault:   SerialFS_TB.FUT._1130_/Y to 0 at               342270
Undetected fault:   SerialFS_TB.FUT._1130_/Y to 1 at               342480
Undetected fault:   SerialFS_TB.FUT._1130_/B to 0 at               342690
Undetected fault:   SerialFS_TB.FUT._1130_/A to 0 at               342900
Undetected fault:   SerialFS_TB.FUT._1129_/Y to 0 at               343110
Undetected fault:   SerialFS_TB.FUT._1128_/B to 1 at               343320
Undetected fault:   SerialFS_TB.FUT._1128_/A to 1 at               343530
Undetected fault:   SerialFS_TB.FUT._1128_/Y to 1 at               343740
Undetected fault:   SerialFS_TB.FUT._1128_/B to 0 at               343950
Undetected fault:   SerialFS_TB.FUT._1128_/A to 0 at               344160
Undetected fault:   SerialFS_TB.FUT._1129_/A to 1 at               344370
Undetected fault:   SerialFS_TB.FUT._1121_/B to 1 at               344580
Undetected fault:   SerialFS_TB.FUT._1121_/A to 1 at               344790
Undetected fault:   SerialFS_TB.FUT._1121_/Y to 1 at               345000
Undetected fault:   SerialFS_TB.FUT._1121_/B to 0 at               345210
Undetected fault:   SerialFS_TB.FUT._1129_/B to 1 at               345630
Undetected fault:   SerialFS_TB.FUT._1122_/Y to 0 at               345840
Undetected fault:   SerialFS_TB.FUT._1122_/A to 1 at               346050
Undetected fault:   SerialFS_TB.FUT._1124_/B to 0 at               346470
Undetected fault:   SerialFS_TB.FUT._1124_/Y to 1 at               346680
Undetected fault:   SerialFS_TB.FUT._1123_/B to 0 at               346890
Undetected fault:   SerialFS_TB.FUT._1123_/A to 0 at               347100
Undetected fault:   SerialFS_TB.FUT._1123_/Y to 0 at               347310
Undetected fault:   SerialFS_TB.FUT._1123_/A to 1 at               347520
Undetected fault:   SerialFS_TB.FUT._1123_/B to 1 at               347730
Undetected fault:   SerialFS_TB.FUT._1124_/A to 0 at               347940
Undetected fault:   SerialFS_TB.FUT._1122_/B to 0 at               348150
Undetected fault:   SerialFS_TB.FUT._1122_/A to 0 at               348360
Undetected fault:   SerialFS_TB.FUT._1124_/Y to 0 at               348570
Undetected fault:   SerialFS_TB.FUT._1124_/A to 1 at               348780
Undetected fault:   SerialFS_TB.FUT._1124_/B to 1 at               348990
Undetected fault:   SerialFS_TB.FUT._1123_/Y to 1 at               349200
Undetected fault:   SerialFS_TB.FUT._1122_/Y to 1 at               349410
Undetected fault:   SerialFS_TB.FUT._1127_/Y to 1 at               349620
Undetected fault:   SerialFS_TB.FUT._1127_/A to 0 at               349830
Undetected fault:   SerialFS_TB.FUT._1127_/B to 0 at               350040
Undetected fault:   SerialFS_TB.FUT._1126_/Y to 0 at               350250
Undetected fault:   SerialFS_TB.FUT._1125_/Y to 0 at               350460
Undetected fault:   SerialFS_TB.FUT._1127_/Y to 0 at               350670
Undetected fault:   SerialFS_TB.FUT._1126_/B to 1 at               350880
Undetected fault:   SerialFS_TB.FUT._1126_/A to 1 at               351090
Undetected fault:   SerialFS_TB.FUT._1126_/Y to 1 at               351300
Undetected fault:   SerialFS_TB.FUT._1126_/B to 0 at               351510
Undetected fault:   SerialFS_TB.FUT._1127_/A to 1 at               351930
Undetected fault:   SerialFS_TB.FUT._1125_/B to 1 at               352140
Undetected fault:   SerialFS_TB.FUT._1125_/A to 1 at               352350
Undetected fault:   SerialFS_TB.FUT._1125_/Y to 1 at               352560
Undetected fault:   SerialFS_TB.FUT._1125_/A to 0 at               352980
Undetected fault:   SerialFS_TB.FUT._1127_/B to 1 at               353190
Undetected fault:   SerialFS_TB.FUT._1138_/Y to 1 at               353400
Undetected fault:   SerialFS_TB.FUT._1138_/B to 0 at               353610
Undetected fault:   SerialFS_TB.FUT._1138_/A to 0 at               353820
Undetected fault:   SerialFS_TB.FUT._1131_/Y to 0 at               354030
Undetected fault:   SerialFS_TB.FUT._1137_/Y to 0 at               354240
Undetected fault:   SerialFS_TB.FUT._1138_/Y to 0 at               354450
Undetected fault:   SerialFS_TB.FUT._1137_/B to 1 at               354660
Undetected fault:   SerialFS_TB.FUT._1137_/A to 1 at               354870
Undetected fault:   SerialFS_TB.FUT._1137_/Y to 1 at               355080
Undetected fault:   SerialFS_TB.FUT._1137_/A to 0 at               355290
Undetected fault:   SerialFS_TB.FUT._1137_/B to 0 at               355500
Undetected fault:   SerialFS_TB.FUT._1138_/A to 1 at               355710
Undetected fault:   SerialFS_TB.FUT._1131_/B to 1 at               355920
Undetected fault:   SerialFS_TB.FUT._1131_/A to 1 at               356130
Undetected fault:   SerialFS_TB.FUT._1131_/Y to 1 at               356340
Undetected fault:   SerialFS_TB.FUT._1131_/B to 0 at               356550
Undetected fault:   SerialFS_TB.FUT._1131_/A to 0 at               356760
Undetected fault:   SerialFS_TB.FUT._1138_/B to 1 at               356970
Undetected fault:   SerialFS_TB.FUT._1132_/Y to 0 at               357180
Undetected fault:   SerialFS_TB.FUT._1132_/A to 1 at               357390
Undetected fault:   SerialFS_TB.FUT._1132_/Y to 1 at               357600
Undetected fault:   SerialFS_TB.FUT._1132_/A to 0 at               357810
Undetected fault:   SerialFS_TB.FUT._1133_/Y to 0 at               358020
Undetected fault:   SerialFS_TB.FUT._1133_/B to 1 at               358230
Undetected fault:   SerialFS_TB.FUT._1133_/A to 1 at               358440
Undetected fault:   SerialFS_TB.FUT._1135_/B to 0 at               358650
Undetected fault:   SerialFS_TB.FUT._1135_/Y to 1 at               358860
Undetected fault:   SerialFS_TB.FUT._1134_/B to 0 at               359070
Undetected fault:   SerialFS_TB.FUT._1134_/Y to 0 at               359490
Undetected fault:   SerialFS_TB.FUT._1134_/B to 1 at               359700
Undetected fault:   SerialFS_TB.FUT._1134_/A to 1 at               359910
Undetected fault:   SerialFS_TB.FUT._1135_/A to 0 at               360120
Undetected fault:   SerialFS_TB.FUT._1133_/B to 0 at               360330
Undetected fault:   SerialFS_TB.FUT._1133_/A to 0 at               360540
Undetected fault:   SerialFS_TB.FUT._1135_/Y to 0 at               360750
Undetected fault:   SerialFS_TB.FUT._1135_/B to 1 at               360960
Undetected fault:   SerialFS_TB.FUT._1135_/A to 1 at               361170
Undetected fault:   SerialFS_TB.FUT._1133_/Y to 1 at               361380
Undetected fault:   SerialFS_TB.FUT._1134_/Y to 1 at               361590
Undetected fault:   SerialFS_TB.FUT._1136_/Y to 0 at               361800
Undetected fault:   SerialFS_TB.FUT._1136_/B to 1 at               362010
Undetected fault:   SerialFS_TB.FUT._1136_/A to 1 at               362220
Undetected fault:   SerialFS_TB.FUT._1136_/B to 0 at               362430
Undetected fault:   SerialFS_TB.FUT._1136_/A to 0 at               362640
Undetected fault:   SerialFS_TB.FUT._1136_/Y to 1 at               362850
Undetected fault:   SerialFS_TB.FUT._1139_/Y to 0 at               363060
Undetected fault:   SerialFS_TB.FUT._1139_/B to 1 at               363270
Undetected fault:   SerialFS_TB.FUT._1139_/A to 1 at               363480
Undetected fault:   SerialFS_TB.FUT._1139_/Y to 1 at               363690
Undetected fault:   SerialFS_TB.FUT._1139_/A to 0 at               363900
Undetected fault:   SerialFS_TB.FUT._1139_/B to 0 at               364110
Undetected fault:   SerialFS_TB.FUT._1140_/Y to 0 at               364320
Undetected fault:   SerialFS_TB.FUT._1140_/A to 1 at               364530
Undetected fault:   SerialFS_TB.FUT._1140_/B to 1 at               364740
Undetected fault:   SerialFS_TB.FUT._1140_/B to 0 at               364950
Undetected fault:   SerialFS_TB.FUT._1140_/A to 0 at               365160
Undetected fault:   SerialFS_TB.FUT._1140_/Y to 1 at               365370
Undetected fault:   SerialFS_TB.FUT._1141_/Y to 0 at               365580
Undetected fault:   SerialFS_TB.FUT._1141_/B to 1 at               365790
Undetected fault:   SerialFS_TB.FUT._1141_/A to 1 at               366000
Undetected fault:   SerialFS_TB.FUT._1141_/Y to 1 at               366210
Undetected fault:   SerialFS_TB.FUT._1141_/A to 0 at               366420
Undetected fault:   SerialFS_TB.FUT._1141_/B to 0 at               366630
Undetected fault:   SerialFS_TB.FUT._1142_/Y to 0 at               366840
Undetected fault:   SerialFS_TB.FUT._1142_/A to 1 at               367050
Undetected fault:   SerialFS_TB.FUT._1142_/B to 1 at               367260
Undetected fault:   SerialFS_TB.FUT._1142_/B to 0 at               367470
Undetected fault:   SerialFS_TB.FUT._1142_/A to 0 at               367680
Undetected fault:   SerialFS_TB.FUT._1164_/A to 0 at               369570
Undetected fault:   SerialFS_TB.FUT._1164_/Y to 0 at               369780
Undetected fault:   SerialFS_TB.FUT._1164_/B to 1 at               369990
Undetected fault:   SerialFS_TB.FUT._1164_/A to 1 at               370200
Undetected fault:   SerialFS_TB.FUT._1165_/A to 0 at               370410
Undetected fault:   SerialFS_TB.FUT._1143_/B to 0 at               370620
Undetected fault:   SerialFS_TB.FUT._1143_/A to 0 at               370830
Undetected fault:   SerialFS_TB.FUT.N2753 to 0 at               371040
Undetected fault:   SerialFS_TB.FUT._1165_/Y to 0 at               371250
Undetected fault:   SerialFS_TB.FUT._1165_/B to 1 at               371460
Undetected fault:   SerialFS_TB.FUT._1165_/A to 1 at               371670
Undetected fault:   SerialFS_TB.FUT._1143_/Y to 1 at               371880
Undetected fault:   SerialFS_TB.FUT._1164_/Y to 1 at               372090
Undetected fault:   SerialFS_TB.FUT._1146_/Y to 1 at               372300
Undetected fault:   SerialFS_TB.FUT._1146_/A to 0 at               372510
Undetected fault:   SerialFS_TB.FUT._1146_/B to 0 at               372720
Undetected fault:   SerialFS_TB.FUT._1145_/Y to 0 at               372930
Undetected fault:   SerialFS_TB.FUT._1144_/Y to 0 at               373140
Undetected fault:   SerialFS_TB.FUT._1146_/Y to 0 at               373350
Undetected fault:   SerialFS_TB.FUT._1145_/B to 1 at               373560
Undetected fault:   SerialFS_TB.FUT._1145_/A to 1 at               373770
Undetected fault:   SerialFS_TB.FUT._1145_/Y to 1 at               373980
Undetected fault:   SerialFS_TB.FUT._1145_/B to 0 at               374190
Undetected fault:   SerialFS_TB.FUT._1145_/A to 0 at               374400
Undetected fault:   SerialFS_TB.FUT._1146_/A to 1 at               374610
Undetected fault:   SerialFS_TB.FUT._1144_/B to 1 at               374820
Undetected fault:   SerialFS_TB.FUT._1144_/A to 1 at               375030
Undetected fault:   SerialFS_TB.FUT._1144_/Y to 1 at               375240
Undetected fault:   SerialFS_TB.FUT._1144_/A to 0 at               375450
Undetected fault:   SerialFS_TB.FUT._1144_/B to 0 at               375660
Undetected fault:   SerialFS_TB.FUT._1146_/B to 1 at               375870
Undetected fault:   SerialFS_TB.FUT._1149_/Y to 1 at               376080
Undetected fault:   SerialFS_TB.FUT._1149_/A to 0 at               376290
Undetected fault:   SerialFS_TB.FUT._1149_/B to 0 at               376500
Undetected fault:   SerialFS_TB.FUT._1148_/Y to 0 at               376710
Undetected fault:   SerialFS_TB.FUT._1147_/Y to 0 at               376920
Undetected fault:   SerialFS_TB.FUT._1149_/Y to 0 at               377130
Undetected fault:   SerialFS_TB.FUT._1148_/B to 1 at               377340
Undetected fault:   SerialFS_TB.FUT._1148_/A to 1 at               377550
Undetected fault:   SerialFS_TB.FUT._1148_/Y to 1 at               377760
Undetected fault:   SerialFS_TB.FUT._1148_/B to 0 at               377970
Undetected fault:   SerialFS_TB.FUT._1148_/A to 0 at               378180
Undetected fault:   SerialFS_TB.FUT._1149_/A to 1 at               378390
Undetected fault:   SerialFS_TB.FUT._1147_/B to 1 at               378600
Undetected fault:   SerialFS_TB.FUT._1147_/A to 1 at               378810
Undetected fault:   SerialFS_TB.FUT._1147_/Y to 1 at               379020
Undetected fault:   SerialFS_TB.FUT._1147_/A to 0 at               379230
Undetected fault:   SerialFS_TB.FUT._1147_/B to 0 at               379440
Undetected fault:   SerialFS_TB.FUT._1149_/B to 1 at               379650
Undetected fault:   SerialFS_TB.FUT._1150_/Y to 0 at               379860
Undetected fault:   SerialFS_TB.FUT._1150_/B to 1 at               380070
Undetected fault:   SerialFS_TB.FUT._1150_/A to 1 at               380280
Undetected fault:   SerialFS_TB.FUT._1150_/Y to 1 at               380490
Undetected fault:   SerialFS_TB.FUT._1150_/A to 0 at               380700
Undetected fault:   SerialFS_TB.FUT._1150_/B to 0 at               380910
Undetected fault:   SerialFS_TB.FUT._1151_/Y to 0 at               381120
Undetected fault:   SerialFS_TB.FUT._1151_/A to 1 at               381330
Undetected fault:   SerialFS_TB.FUT._1151_/B to 1 at               381540
Undetected fault:   SerialFS_TB.FUT._1151_/B to 0 at               381750
Undetected fault:   SerialFS_TB.FUT._1151_/A to 0 at               381960
Undetected fault:   SerialFS_TB.FUT._1151_/Y to 1 at               382170
Undetected fault:   SerialFS_TB.FUT._1152_/Y to 0 at               382380
Undetected fault:   SerialFS_TB.FUT._1152_/A to 1 at               382590
Undetected fault:   SerialFS_TB.FUT._1152_/Y to 1 at               382800
Undetected fault:   SerialFS_TB.FUT._1152_/A to 0 at               383010
Undetected fault:   SerialFS_TB.FUT._1153_/Y to 0 at               383220
Undetected fault:   SerialFS_TB.FUT._1153_/A to 1 at               383430
Undetected fault:   SerialFS_TB.FUT._1153_/B to 1 at               383640
Undetected fault:   SerialFS_TB.FUT._1155_/B to 0 at               383850
Undetected fault:   SerialFS_TB.FUT._1155_/Y to 1 at               384060
Undetected fault:   SerialFS_TB.FUT._1154_/B to 0 at               384270
Undetected fault:   SerialFS_TB.FUT._1154_/A to 0 at               384480
Undetected fault:   SerialFS_TB.FUT._1154_/Y to 0 at               384690
Undetected fault:   SerialFS_TB.FUT._1154_/B to 1 at               384900
Undetected fault:   SerialFS_TB.FUT._1154_/A to 1 at               385110
Undetected fault:   SerialFS_TB.FUT._1155_/A to 0 at               385320
Undetected fault:   SerialFS_TB.FUT._1153_/B to 0 at               385530
Undetected fault:   SerialFS_TB.FUT._1153_/A to 0 at               385740
Undetected fault:   SerialFS_TB.FUT._1155_/Y to 0 at               385950
Undetected fault:   SerialFS_TB.FUT._1155_/A to 1 at               386160
Undetected fault:   SerialFS_TB.FUT._1155_/B to 1 at               386370
Undetected fault:   SerialFS_TB.FUT._1154_/Y to 1 at               386580
Undetected fault:   SerialFS_TB.FUT._1153_/Y to 1 at               386790
Undetected fault:   SerialFS_TB.FUT._1156_/Y to 0 at               387000
Undetected fault:   SerialFS_TB.FUT._1156_/A to 1 at               387210
Undetected fault:   SerialFS_TB.FUT._1156_/B to 1 at               387420
Undetected fault:   SerialFS_TB.FUT._1156_/B to 0 at               387630
Undetected fault:   SerialFS_TB.FUT._1156_/A to 0 at               387840
Undetected fault:   SerialFS_TB.FUT._1156_/Y to 1 at               388050
Undetected fault:   SerialFS_TB.FUT._1157_/Y to 0 at               388260
Undetected fault:   SerialFS_TB.FUT._1157_/B to 1 at               388470
Undetected fault:   SerialFS_TB.FUT._1157_/A to 1 at               388680
Undetected fault:   SerialFS_TB.FUT._1159_/B to 0 at               388890
Undetected fault:   SerialFS_TB.FUT._1159_/Y to 1 at               389100
Undetected fault:   SerialFS_TB.FUT._1158_/B to 0 at               389310
Undetected fault:   SerialFS_TB.FUT._1158_/A to 0 at               389520
Undetected fault:   SerialFS_TB.FUT._1158_/Y to 0 at               389730
Undetected fault:   SerialFS_TB.FUT._1158_/A to 1 at               389940
Undetected fault:   SerialFS_TB.FUT._1158_/B to 1 at               390150
Undetected fault:   SerialFS_TB.FUT._1159_/A to 0 at               390360
Undetected fault:   SerialFS_TB.FUT._1157_/B to 0 at               390570
Undetected fault:   SerialFS_TB.FUT._1157_/A to 0 at               390780
Undetected fault:   SerialFS_TB.FUT._1159_/Y to 0 at               390990
Undetected fault:   SerialFS_TB.FUT._1159_/B to 1 at               391200
Undetected fault:   SerialFS_TB.FUT._1159_/A to 1 at               391410
Undetected fault:   SerialFS_TB.FUT._1157_/Y to 1 at               391620
Undetected fault:   SerialFS_TB.FUT._1158_/Y to 1 at               391830
Undetected fault:   SerialFS_TB.FUT._1160_/Y to 0 at               392040
Undetected fault:   SerialFS_TB.FUT._1160_/A to 1 at               392250
Undetected fault:   SerialFS_TB.FUT._1160_/B to 1 at               392460
Undetected fault:   SerialFS_TB.FUT._1160_/B to 0 at               392670
Undetected fault:   SerialFS_TB.FUT._1160_/A to 0 at               392880
Undetected fault:   SerialFS_TB.FUT._1160_/Y to 1 at               393090
Undetected fault:   SerialFS_TB.FUT._1161_/Y to 0 at               393300
Undetected fault:   SerialFS_TB.FUT._1161_/B to 1 at               393510
Undetected fault:   SerialFS_TB.FUT._1161_/A to 1 at               393720
Undetected fault:   SerialFS_TB.FUT._1161_/Y to 1 at               393930
Undetected fault:   SerialFS_TB.FUT._1161_/A to 0 at               394140
Undetected fault:   SerialFS_TB.FUT._1161_/B to 0 at               394350
Undetected fault:   SerialFS_TB.FUT._1162_/Y to 0 at               394560
Undetected fault:   SerialFS_TB.FUT._1162_/A to 1 at               394770
Undetected fault:   SerialFS_TB.FUT._1162_/B to 1 at               394980
Undetected fault:   SerialFS_TB.FUT._1162_/B to 0 at               395190
Undetected fault:   SerialFS_TB.FUT._1162_/A to 0 at               395400
Undetected fault:   SerialFS_TB.FUT._1162_/Y to 1 at               395610
Undetected fault:   SerialFS_TB.FUT._1163_/Y to 0 at               395820
Undetected fault:   SerialFS_TB.FUT._1163_/B to 1 at               396030
Undetected fault:   SerialFS_TB.FUT._1163_/A to 1 at               396240
Undetected fault:   SerialFS_TB.FUT._1163_/Y to 1 at               396450
Undetected fault:   SerialFS_TB.FUT._1163_/A to 0 at               396660
Undetected fault:   SerialFS_TB.FUT._1163_/B to 0 at               396870
Undetected fault:   SerialFS_TB.FUT._1166_/Y to 0 at               397080
Undetected fault:   SerialFS_TB.FUT._1166_/B to 1 at               397290
Undetected fault:   SerialFS_TB.FUT._1166_/A to 1 at               397500
Undetected fault:   SerialFS_TB.FUT._1166_/Y to 1 at               397710
Undetected fault:   SerialFS_TB.FUT._1166_/A to 0 at               397920
Undetected fault:   SerialFS_TB.FUT._1166_/B to 0 at               398130
Undetected fault:   SerialFS_TB.FUT._1167_/Y to 0 at               398340
Undetected fault:   SerialFS_TB.FUT._1167_/A to 1 at               398550
Undetected fault:   SerialFS_TB.FUT._1167_/B to 1 at               398760
Undetected fault:   SerialFS_TB.FUT._1167_/B to 0 at               398970
Undetected fault:   SerialFS_TB.FUT._1167_/A to 0 at               399180
Undetected fault:   SerialFS_TB.FUT._1167_/Y to 1 at               399390
Undetected fault:   SerialFS_TB.FUT._1168_/Y to 0 at               399600
Undetected fault:   SerialFS_TB.FUT._1168_/A to 1 at               399810
Undetected fault:   SerialFS_TB.FUT._1168_/B to 1 at               400020
Undetected fault:   SerialFS_TB.FUT._1170_/B to 0 at               400230
Undetected fault:   SerialFS_TB.FUT._1170_/Y to 1 at               400440
Undetected fault:   SerialFS_TB.FUT._1169_/B to 0 at               400650
Undetected fault:   SerialFS_TB.FUT._1169_/A to 0 at               400860
Undetected fault:   SerialFS_TB.FUT._1169_/Y to 0 at               401070
Undetected fault:   SerialFS_TB.FUT._1169_/B to 1 at               401280
Undetected fault:   SerialFS_TB.FUT._1169_/A to 1 at               401490
Undetected fault:   SerialFS_TB.FUT._1170_/A to 0 at               401700
Undetected fault:   SerialFS_TB.FUT._1168_/B to 0 at               401910
Undetected fault:   SerialFS_TB.FUT._1168_/A to 0 at               402120
Undetected fault:   SerialFS_TB.FUT._1170_/Y to 0 at               402330
Undetected fault:   SerialFS_TB.FUT._1170_/A to 1 at               402540
Undetected fault:   SerialFS_TB.FUT._1170_/B to 1 at               402750
Undetected fault:   SerialFS_TB.FUT._1169_/Y to 1 at               402960
Undetected fault:   SerialFS_TB.FUT._1168_/Y to 1 at               403170
Undetected fault:   SerialFS_TB.FUT._1171_/Y to 0 at               403380
Undetected fault:   SerialFS_TB.FUT._1171_/B to 1 at               403590
Undetected fault:   SerialFS_TB.FUT._1171_/A to 1 at               403800
Undetected fault:   SerialFS_TB.FUT._1171_/Y to 1 at               404010
Undetected fault:   SerialFS_TB.FUT._1171_/B to 0 at               404220
Undetected fault:   SerialFS_TB.FUT._1171_/A to 0 at               404430
Undetected fault:   SerialFS_TB.FUT._1172_/Y to 0 at               404640
Undetected fault:   SerialFS_TB.FUT._1172_/A to 1 at               404850
Undetected fault:   SerialFS_TB.FUT._1172_/B to 1 at               405060
Undetected fault:   SerialFS_TB.FUT._1172_/B to 0 at               405270
Undetected fault:   SerialFS_TB.FUT._1172_/A to 0 at               405480
Undetected fault:   SerialFS_TB.FUT._1172_/Y to 1 at               405690
Undetected fault:   SerialFS_TB.FUT._1173_/B to 1 at               406110
Undetected fault:   SerialFS_TB.FUT._1173_/A to 1 at               406320
Undetected fault:   SerialFS_TB.FUT._1173_/Y to 1 at               406530
Undetected fault:   SerialFS_TB.FUT._1173_/A to 0 at               406740
Undetected fault:   SerialFS_TB.FUT._1173_/B to 0 at               406950
Undetected fault:   SerialFS_TB.FUT.N2754 to 1 at               407160
Undetected fault:   SerialFS_TB.FUT._1183_/Y to 1 at               407370
Undetected fault:   SerialFS_TB.FUT._1183_/B to 0 at               407580
Undetected fault:   SerialFS_TB.FUT._1183_/A to 0 at               407790
Undetected fault:   SerialFS_TB.FUT._1174_/Y to 0 at               408000
Undetected fault:   SerialFS_TB.FUT._1182_/Y to 0 at               408210
Undetected fault:   SerialFS_TB.FUT._1182_/B to 1 at               408840
Undetected fault:   SerialFS_TB.FUT._1182_/A to 1 at               409050
Undetected fault:   SerialFS_TB.FUT._1182_/Y to 1 at               409260
Undetected fault:   SerialFS_TB.FUT._1182_/B to 0 at               409470
Undetected fault:   SerialFS_TB.FUT._1182_/A to 0 at               409680
Undetected fault:   SerialFS_TB.FUT._1183_/A to 1 at               409890
Undetected fault:   SerialFS_TB.FUT._1174_/B to 1 at               410100
Undetected fault:   SerialFS_TB.FUT._1174_/A to 1 at               410310
Undetected fault:   SerialFS_TB.FUT._1175_/Y to 0 at               411360
Undetected fault:   SerialFS_TB.FUT._1175_/A to 1 at               411570
Undetected fault:   SerialFS_TB.FUT._1175_/Y to 1 at               411780
Undetected fault:   SerialFS_TB.FUT._1175_/A to 0 at               411990
